customer_id,number_of_orders,Days in firstorder,Days in second_order,Days in third_order,Days in lastorder,days_since_last_order,average_ind_order_frequency,stages,stages_week_overtime,City,internalData__segmentation,final_group_median,group_avg_no_zeros,stages_by_groups,internalData__gender,average_order_frequency,female,days_since_firstorder,churn_group,berlin,churn_ind
54d76e97d3cde8973fd30f6f,1,2/8/2015,NA,NA,2/8/2015,386,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,386,1,0,1
54758b3ed2cde84535ce4df2,1,11/26/2014,NA,NA,11/26/2014,460,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,460,1,0,1
54d79bb2d2cde81509a904ab,1,2/8/2015,NA,NA,2/8/2015,386,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,386,1,0,1
54d4045ad2cde8803e513662,1,2/6/2015,NA,NA,2/6/2015,388,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,388,1,0,1
54d87027d2cde82609a904b8,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54d8939fd2cde88708a90522,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54d89a08d2cde88571a90446,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54d8c225d3cde84b21582f9e,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54d8ce5fd2cde83e448fa6e1,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54d8ffded3cde84c21582ffa,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54d91a6fd2cde847448fa789,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54d93d17d2cde8db458fa743,1,2/13/2015,NA,NA,2/13/2015,381,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,381,1,0,1
54d94398d2cde8a759906e9d,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54d9e13fd2cde82f35aba71c,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
5461e690d3cde8e50170e067,1,11/11/2014,NA,NA,11/11/2014,475,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,475,1,0,1
54d9f93dd4cde88c34d9a1f3,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da0171d3cde83f7d752eef,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da0840d3cde83b7d752f07,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da19f5d2cde84018aba746,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da1ab5d2cde8ce18aba767,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da1d73d2cde88b18aba757,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da246cd2cde8ce18aba78c,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da7f99d2cde83447aba6f5,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54da8883d3cde8d867752f0e,1,2/10/2015,NA,NA,2/10/2015,384,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,384,1,0,1
54d8af84d3cde86f73d30f98,1,2/9/2015,NA,NA,2/9/2015,385,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,385,1,0,1
54db15d4d3cde85468752f56,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54db21edd2cde8a32ef9a604,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54db2de4d3cde8da527638c6,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54db36ded3cde8df527638aa,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54db39b5d4cde8357fe55f9c,1,3/18/2015,NA,NA,3/18/2015,348,0,Stage 3,Stage 3,London,DC,47,47,Stage 3,female,59.63103448,1,348,1,0,1
54db468bd4cde8317fe55faf,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54db5d5fd2cde8a72ef9a685,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54db9ba8d4cde80c32455628,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54dba2b1d4cde80c32455633,1,2/11/2015,NA,NA,2/11/2015,383,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,383,1,0,1
54dc7a44d4cde8fa1445562a,1,2/15/2015,NA,NA,2/15/2015,379,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,379,1,0,1
54dc94aed2cde86b46fffb6b,1,2/12/2015,NA,NA,2/12/2015,382,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,382,1,0,1
54dcc8b9d2cde8bb27fffbaa,1,2/12/2015,NA,NA,2/12/2015,382,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,382,1,0,1
54dcdbcdd2cde8de12fffb4d,1,2/12/2015,NA,NA,2/12/2015,382,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,382,1,0,1
54dce6ead3cde8323cf7d16e,1,2/12/2015,NA,NA,2/12/2015,382,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,382,1,0,1
